formulary_id,contract_year,1,2,3,4,5,6,7
00025000,2025,267.0,650.0,984.0,1069.0,696.0,0.0,0.0
00025001,2025,54.0,449.0,816.0,1088.0,650.0,0.0,0.0
00025002,2025,456.0,528.0,897.0,988.0,800.0,0.0,0.0
00025003,2025,506.0,486.0,889.0,988.0,800.0,0.0,0.0
00025006,2025,2384.0,1184.0,0.0,0.0,0.0,0.0,0.0
00025014,2025,4452.0,0.0,0.0,0.0,0.0,0.0,0.0
00025015,2025,362.0,1144.0,1196.0,355.0,800.0,0.0,0.0
00025016,2025,2534.0,1918.0,0.0,0.0,0.0,0.0,0.0
00025019,2025,362.0,1918.0,507.0,283.0,789.0,0.0,0.0
00025020,2025,547.0,1886.0,276.0,741.0,1002.0,0.0,0.0
00025022,2025,527.0,1283.0,605.0,647.0,1023.0,0.0,0.0
00025023,2025,302.0,1029.0,607.0,607.0,881.0,0.0,0.0
00025025,2025,326.0,1191.0,542.0,511.0,853.0,0.0,0.0
00025029,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025030,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025031,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025032,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025033,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025034,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025035,2025,3411.0,0.0,0.0,0.0,0.0,0.0,0.0
00025036,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025037,2025,575.0,839.0,205.0,1178.0,645.0,0.0,0.0
00025038,2025,3416.0,0.0,0.0,0.0,0.0,0.0,0.0
00025039,2025,1496.0,895.0,334.0,128.0,564.0,0.0,0.0
00025040,2025,3411.0,0.0,0.0,0.0,0.0,0.0,0.0
00025041,2025,1496.0,895.0,334.0,128.0,564.0,0.0,0.0
00025042,2025,1491.0,895.0,339.0,128.0,564.0,0.0,0.0
00025043,2025,1491.0,895.0,339.0,128.0,564.0,0.0,0.0
00025044,2025,1491.0,895.0,339.0,128.0,564.0,0.0,0.0
00025045,2025,2167.0,1239.0,0.0,0.0,0.0,0.0,0.0
00025046,2025,1491.0,895.0,339.0,128.0,564.0,0.0,0.0
00025047,2025,2167.0,1239.0,0.0,0.0,0.0,0.0,0.0
00025048,2025,1491.0,895.0,339.0,128.0,564.0,0.0,0.0
00025049,2025,214.0,693.0,560.0,1048.0,721.0,344.0,0.0
00025050,2025,2167.0,1239.0,0.0,0.0,0.0,0.0,0.0
00025051,2025,1300.0,853.0,334.0,128.0,564.0,239.0,0.0
00025052,2025,504.0,1146.0,383.0,802.0,726.0,0.0,0.0
00025053,2025,1489.0,865.0,339.0,124.0,563.0,0.0,0.0
00025054,2025,2167.0,1239.0,0.0,0.0,0.0,0.0,0.0
00025055,2025,3380.0,0.0,0.0,0.0,0.0,0.0,0.0
00025056,2025,2167.0,1239.0,0.0,0.0,0.0,0.0,0.0
00025059,2025,124.0,430.0,652.0,1105.0,721.0,0.0,0.0
00025061,2025,356.0,634.0,333.0,1281.0,719.0,0.0,0.0
00025063,2025,338.0,686.0,295.0,1369.0,634.0,0.0,0.0
00025064,2025,59.0,1445.0,274.0,411.0,711.0,360.0,0.0
00025066,2025,219.0,736.0,279.0,1122.0,756.0,249.0,0.0
00025070,2025,200.0,522.0,712.0,918.0,701.0,0.0,0.0
00025071,2025,161.0,967.0,254.0,1103.0,488.0,0.0,0.0
00025072,2025,320.0,638.0,912.0,844.0,806.0,0.0,0.0
00025074,2025,308.0,1018.0,236.0,1202.0,499.0,0.0,0.0
