formulary_id,contract_year,tier_level_value,rows_count,distinct_rxcui,pct_of_formulary
00025053,2025,2,865,865,25.59171597633136
00025053,2025,3,339,339,10.029585798816568
00025053,2025,4,124,124,3.668639053254438
00025053,2025,5,563,563,16.65680473372781
00025054,2025,1,2167,2167,63.62301820317087
00025054,2025,2,1239,1239,36.37698179682913
00025055,2025,1,3380,3380,100.0
00025056,2025,1,2167,2167,63.62301820317087
00025056,2025,2,1239,1239,36.37698179682913
00025059,2025,1,124,124,4.089709762532982
00025059,2025,2,430,430,14.182058047493404
00025059,2025,3,652,652,21.503957783641162
00025059,2025,4,1105,1105,36.44459102902375
00025059,2025,5,721,721,23.779683377308707
00025061,2025,1,356,356,10.713210953957267
00025061,2025,2,634,634,19.07914535058682
00025061,2025,3,333,333,10.021065302437556
00025061,2025,4,1281,1281,38.54950346072826
00025061,2025,5,719,719,21.637074932290098
00025063,2025,1,338,338,10.174593618302227
00025063,2025,2,686,686,20.650210716435883
00025063,2025,3,295,295,8.880192655027091
00025063,2025,4,1369,1369,41.210114388922335
00025063,2025,5,634,634,19.084888621312462
00025064,2025,1,59,59,1.8098159509202454
00025064,2025,2,1445,1445,44.32515337423313
00025064,2025,3,274,274,8.404907975460123
00025064,2025,4,411,411,12.607361963190185
00025064,2025,5,711,711,21.809815950920246
00025064,2025,6,360,360,11.042944785276074
00025066,2025,1,219,219,6.515917881582863
00025066,2025,2,736,736,21.89824457006843
00025066,2025,3,279,279,8.30110086283844
00025066,2025,4,1122,1122,33.38292174947932
00025066,2025,5,756,756,22.493305563820293
00025066,2025,6,249,249,7.408509372210651
00025070,2025,1,200,200,6.550933508024894
00025070,2025,2,522,522,17.09793645594497
00025070,2025,3,712,712,23.32132328856862
00025070,2025,4,918,918,30.068784801834262
00025070,2025,5,701,701,22.96102194562725
00025071,2025,1,161,161,5.415405314497141
00025071,2025,2,967,967,32.52606794483687
00025071,2025,3,254,254,8.543558694920955
00025071,2025,4,1103,1103,37.10057181298352
00025071,2025,5,488,488,16.414396232761522
00025072,2025,1,320,320,9.090909090909092
00025072,2025,2,638,638,18.125
00025072,2025,3,912,912,25.90909090909091
00025072,2025,4,844,844,23.977272727272727
00025072,2025,5,806,806,22.897727272727273
00025074,2025,1,308,308,9.439166411277965
00025074,2025,2,1018,1018,31.198283787925224
00025074,2025,3,236,236,7.232608029420779
00025074,2025,4,1202,1202,36.837266319338035
00025074,2025,5,499,499,15.292675452038003
00025076,2025,1,344,344,10.228962236098722
00025076,2025,2,1308,1308,38.89384478144514
00025076,2025,3,243,243,7.225691347011597
00025076,2025,4,462,462,13.737734165923284
00025076,2025,5,757,757,22.509663990484686
00025076,2025,6,249,249,7.404103479036574
00025078,2025,1,246,246,6.8409343715239155
00025078,2025,2,699,699,19.43826473859844
00025078,2025,3,846,846,23.526140155728587
00025078,2025,4,797,797,22.163515016685206
00025078,2025,5,809,809,22.4972191323693
00025078,2025,6,199,199,5.53392658509455
00025079,2025,1,1352,1352,40.57623049219688
00025079,2025,2,577,577,17.31692677070828
00025079,2025,3,601,601,18.03721488595438
00025079,2025,4,765,765,22.959183673469386
00025079,2025,5,37,37,1.1104441776710685
00025080,2025,1,591,591,17.58405236536745
00025080,2025,2,1305,1305,38.827729842308834
00025080,2025,3,210,210,6.248140434394525
00025080,2025,4,465,465,13.835168104730736
00025080,2025,5,757,757,22.523058613507885
00025080,2025,6,33,33,0.9818506396905683
00025081,2025,1,246,246,6.8409343715239155
00025081,2025,2,699,699,19.43826473859844
00025081,2025,3,846,846,23.526140155728587
00025081,2025,4,797,797,22.163515016685206
00025081,2025,5,809,809,22.4972191323693
00025081,2025,6,199,199,5.53392658509455
00025083,2025,1,307,307,8.563458856345886
00025083,2025,2,895,895,24.96513249651325
00025083,2025,3,788,788,21.98047419804742
00025083,2025,4,555,555,15.481171548117155
00025083,2025,5,842,842,23.486750348675034
00025083,2025,6,198,198,5.523012552301255
00025084,2025,1,344,344,10.235049092531984
00025084,2025,2,1303,1303,38.76822374293365
00025084,2025,3,243,243,7.229991074085094
00025084,2025,4,465,465,13.835168104730736
00025084,2025,5,757,757,22.523058613507885
00025084,2025,6,249,249,7.408509372210651
00025086,2025,1,3585,3585,100.0
00025087,2025,1,1353,1353,40.6062424969988
00025087,2025,2,613,613,18.39735894357743
00025087,2025,3,601,601,18.03721488595438
00025087,2025,4,765,765,22.959183673469386
00025089,2025,1,474,474,14.482126489459212
00025089,2025,2,1119,1119,34.188817598533454
00025089,2025,3,664,664,20.28719828903147
00025089,2025,4,302,302,9.227008860372747
00025089,2025,5,649,649,19.828903146959977
00025089,2025,6,65,65,1.9859456156431408
00025091,2025,1,1353,1353,40.6062424969988
00025091,2025,2,613,613,18.39735894357743
00025091,2025,3,601,601,18.03721488595438
00025091,2025,4,765,765,22.959183673469386
00025093,2025,1,270,270,8.19423368740516
00025093,2025,2,543,543,16.479514415781487
00025093,2025,3,750,750,22.76176024279211
00025093,2025,4,981,981,29.77238239757208
00025093,2025,5,751,751,22.792109256449166
00025095,2025,1,3380,3380,100.0
00025096,2025,1,486,486,13.224489795918368
00025096,2025,2,903,903,24.571428571428573
00025096,2025,3,433,433,11.782312925170068
00025096,2025,4,1072,1072,29.170068027210885
00025096,2025,5,781,781,21.25170068027211
00025098,2025,1,3309,3309,100.0
00025100,2025,1,405,405,12.060750446694462
00025100,2025,2,476,476,14.175104228707564
00025100,2025,3,764,764,22.751637879690293
00025100,2025,4,957,957,28.499106611078023
00025100,2025,5,756,756,22.51340083382966
00025101,2025,1,486,486,13.217296709273864
00025101,2025,2,903,903,24.558063638836007
00025101,2025,3,433,433,11.775904269785151
00025101,2025,4,1074,1074,29.208593962469404
00025101,2025,5,781,781,21.240141419635574
00025102,2025,1,826,826,22.931704608550806
00025102,2025,2,1489,1489,41.33814547473626
00025102,2025,3,272,272,7.551360355358135
00025102,2025,4,245,245,6.801776790671849
00025102,2025,5,770,770,21.377012770682953
00025104,2025,1,3380,3380,100.0
00025105,2025,1,639,639,17.430441898527004
00025105,2025,2,769,769,20.976541189307145
00025105,2025,3,431,431,11.756683033278778
00025105,2025,4,1047,1047,28.55973813420622
00025105,2025,5,780,780,21.27659574468085
00025106,2025,1,302,302,8.49507735583685
00025106,2025,2,670,670,18.846694796061886
00025106,2025,3,1035,1035,29.11392405063291
00025106,2025,4,764,764,21.49085794655415
00025106,2025,5,784,784,22.053445850914205
00025108,2025,1,486,486,13.217296709273864
00025108,2025,2,903,903,24.558063638836007
00025108,2025,3,433,433,11.775904269785151
00025108,2025,4,1074,1074,29.208593962469404
00025108,2025,5,781,781,21.240141419635574
00025109,2025,1,1489,1489,44.053254437869825
00025109,2025,2,865,865,25.59171597633136
00025109,2025,3,315,315,9.319526627218934
00025109,2025,4,124,124,3.668639053254438
00025109,2025,5,563,563,16.65680473372781
00025109,2025,6,24,24,0.7100591715976331
00025116,2025,1,3518,3518,100.0
00025117,2025,1,3376,3376,100.0
00025118,2025,1,1489,1489,44.027202838557066
00025118,2025,2,865,865,25.576581904198697
00025118,2025,3,339,339,10.023654642223537
00025118,2025,4,126,126,3.725606150206978
00025118,2025,5,563,563,16.64695446481372
00025119,2025,1,3518,3518,100.0
00025120,2025,1,3381,3381,100.0
00025121,2025,1,2129,2129,63.025458851391356
00025121,2025,2,1249,1249,36.974541148608644
00025122,2025,1,3382,3382,100.0
00025123,2025,1,2129,2129,63.025458851391356
00025123,2025,2,1249,1249,36.974541148608644
00025124,2025,1,390,390,11.085844229675953
00025124,2025,2,832,832,23.649801023308697
00025124,2025,3,759,759,21.574758385446277
00025124,2025,4,732,732,20.807276861853325
00025124,2025,5,805,805,22.88231949971575
00025125,2025,1,1489,1489,44.053254437869825
00025125,2025,2,865,865,25.59171597633136
00025125,2025,3,339,339,10.029585798816568
00025125,2025,4,124,124,3.668639053254438
00025125,2025,5,563,563,16.65680473372781
